Generation, Score of model 0, Average, Score retained
1, 0.005541213788092136, 0.005541213788092136, 0.005541213788092136
2, 0.004989560693502426, 0.004989560693502426, 0.004989560693502426
3, 0.005335089284926653, 0.005335089284926653, 0.004989560693502426
4, 0.007167345378547907, 0.007167345378547907, 0.004989560693502426
5, 0.0033603766933083534, 0.0033603766933083534, 0.0033603766933083534
6, 0.004340113140642643, 0.004340113140642643, 0.0033603766933083534
7, 0.01044404599815607, 0.01044404599815607, 0.0033603766933083534
8, 0.005991993937641382, 0.005991993937641382, 0.0033603766933083534
9, 0.003635917091742158, 0.003635917091742158, 0.0033603766933083534
10, 0.00245295325294137, 0.00245295325294137, 0.00245295325294137
11, 0.0040251086466014385, 0.0040251086466014385, 0.00245295325294137
12, 0.004526358563452959, 0.004526358563452959, 0.00245295325294137
13, 0.004636011552065611, 0.004636011552065611, 0.00245295325294137
14, 0.0035750754177570343, 0.0035750754177570343, 0.00245295325294137
15, 0.00543257687240839, 0.00543257687240839, 0.00245295325294137
16, 0.00699640903621912, 0.00699640903621912, 0.00245295325294137
