Generation, Score of model 0, Score of model 1, Score of model 2, Average, Score retained
1, 0.44306889176368713, 0.30989956855773926, 0.4485906660556793, 0.40051970879236864, 0.30989956855773926
2, 0.37748077511787415, 0.5261553525924683, 0.30306485295295715, 0.40223366022109985, 0.30306485295295715
3, 0.4515445828437805, 0.35634395480155945, 0.2897443473339081, 0.365877628326416, 0.2897443473339081
4, 0.42946958541870117, 0.4912467896938324, 0.2634308338165283, 0.39471573630968726, 0.2634308338165283
5, 0.35260993242263794, 0.3857549726963043, 0.40368154644966125, 0.3806821505228678, 0.2634308338165283
6, 0.6023053526878357, 0.25381287932395935, 0.26639944314956665, 0.37417255838712055, 0.25381287932395935
7, 0.39964333176612854, 0.4052247405052185, 0.3022470772266388, 0.3690383831659953, 0.25381287932395935
8, 0.309339314699173, 0.21343621611595154, 0.4791238307952881, 0.3339664538701375, 0.21343621611595154
9, 0.41535305976867676, 0.4338955879211426, 0.2933143675327301, 0.3808543384075164, 0.21343621611595154
10, 0.24470840394496918, 0.22178934514522552, 0.4117983281612396, 0.2927653590838114, 0.21343621611595154
11, 0.322078675031662, 0.8814049363136292, 0.3206942081451416, 0.5080592731634777, 0.21343621611595154
12, 0.24619905650615692, 0.39749738574028015, 0.22116513550281525, 0.2882871925830841, 0.21343621611595154
13, 0.44865724444389343, 0.41771307587623596, 0.20210124552249908, 0.3561571886142095, 0.20210124552249908
14, 0.4627498984336853, 0.2034192532300949, 0.5360054969787598, 0.4007248828808467, 0.20210124552249908
15, 0.510816752910614, 0.1722363829612732, 0.5885242223739624, 0.4238591194152832, 0.1722363829612732
16, 0.37078729271888733, 0.27503663301467896, 0.37951070070266724, 0.3417782088120778, 0.1722363829612732
17, 0.348137766122818, 0.30403509736061096, 0.37600037455558777, 0.34272441267967224, 0.1722363829612732
18, 0.2730711102485657, 0.49710583686828613, 0.23257659375667572, 0.33425118029117584, 0.1722363829612732
19, 0.2805304229259491, 0.3617938756942749, 0.23027445375919342, 0.2908662507931391, 0.1722363829612732
20, 0.37854236364364624, 0.37440457940101624, 0.3108249306678772, 0.35459062457084656, 0.1722363829612732
21, 0.5798942446708679, 0.25852668285369873, 0.2819522023200989, 0.3734577099482218, 0.1722363829612732
22, 0.3760185241699219, 0.4373379945755005, 0.27688777446746826, 0.36341476440429693, 0.1722363829612732
23, 0.27972766757011414, 0.29844948649406433, 0.32492783665657043, 0.3010349969069163, 0.1722363829612732
24, 0.4086014926433563, 0.1485622078180313, 0.34436458349227905, 0.30050942798455554, 0.1485622078180313
25, 0.4194835126399994, 0.45554569363594055, 0.3115237355232239, 0.39551764726638794, 0.1485622078180313
