Generation, Score of model 0, Score of model 1, Score of model 2, Average, Score retained
1, 0.25293558835983276, 0.8343638181686401, 0.16792812943458557, 0.41840917865435284, 0.16792812943458557
2, 0.3850042521953583, 0.18158812820911407, 0.3421120047569275, 0.3029014617204666, 0.16792812943458557
3, 0.3775872588157654, 1.3640846014022827, 0.16495530307292938, 0.6355423877636591, 0.16495530307292938
4, 0.7297032475471497, 0.15015634894371033, 0.3345085680484772, 0.40478938817977905, 0.15015634894371033
5, 0.1273021101951599, 0.5300166606903076, 0.2920800447463989, 0.3164662718772888, 0.1273021101951599
6, 0.6248299479484558, 0.12527701258659363, 0.42537304759025574, 0.39182666937510174, 0.12527701258659363
7, 0.36050015687942505, 0.2985362708568573, 0.6395114660263062, 0.4328492979208628, 0.12527701258659363
8, 0.6870000958442688, 0.1871165633201599, 0.2420588582754135, 0.37205850581328076, 0.12527701258659363
9, 0.4521295428276062, 0.3853130638599396, 1.3557686805725098, 0.7310704290866852, 0.12527701258659363
10, 0.23120522499084473, 0.2730167508125305, 0.37518310546875, 0.2931350270907084, 0.12527701258659363
11, 0.32264381647109985, 0.22598987817764282, 0.2584182024002075, 0.2690172990163167, 0.12527701258659363
12, 0.2943410575389862, 0.25591468811035156, 0.21483445167541504, 0.2550300657749176, 0.12527701258659363
13, 0.3529021441936493, 0.1462525874376297, 0.19488784670829773, 0.2313475261131922, 0.12527701258659363
14, 0.3258947730064392, 0.1892891824245453, 0.30181822180747986, 0.2723340590794881, 0.12527701258659363
15, 0.29182347655296326, 0.5811045169830322, 0.5583701133728027, 0.4770993689695994, 0.12527701258659363
16, 0.5704255700111389, 0.47492480278015137, 0.23489150404930115, 0.42674729228019714, 0.12527701258659363
17, 0.1696377396583557, 0.8691415786743164, 0.27153337001800537, 0.4367708961168925, 0.12527701258659363
18, 0.30965134501457214, 0.29997727274894714, 1.025400161743164, 0.5450095931688944, 0.12527701258659363
19, 0.3886721432209015, 0.14488045871257782, 0.1479213535785675, 0.22715798517068225, 0.12527701258659363
20, 0.17026455700397491, 0.21426349878311157, 0.6827833652496338, 0.3557704736789068, 0.12527701258659363
21, 0.5590025782585144, 0.2076791375875473, 2.4345357418060303, 1.0670724858840306, 0.12527701258659363
22, 0.7944597005844116, 0.11638955771923065, 0.20497888326644897, 0.3719427138566971, 0.11638955771923065
23, 0.2028656154870987, 0.5212499499320984, 0.2750732898712158, 0.33306295176347095, 0.11638955771923065
24, 0.2454269826412201, 0.3258562684059143, 0.16595296561717987, 0.24574540555477142, 0.11638955771923065
25, 0.25305840373039246, 0.10002515465021133, 0.6279146671295166, 0.3269994085033735, 0.10002515465021133
