Generation, Score of model 0, Average, Score retained
1, 0.02512149140238762, 0.02512149140238762, 0.02512149140238762
2, 0.0144257927313447, 0.0144257927313447, 0.0144257927313447
3, 0.019054709002375603, 0.019054709002375603, 0.0144257927313447
4, 0.04433277249336243, 0.04433277249336243, 0.0144257927313447
5, 0.025483885779976845, 0.025483885779976845, 0.0144257927313447
6, 0.020528852939605713, 0.020528852939605713, 0.0144257927313447
7, 0.01526541169732809, 0.01526541169732809, 0.0144257927313447
8, 0.028714073821902275, 0.028714073821902275, 0.0144257927313447
9, 0.031720347702503204, 0.031720347702503204, 0.0144257927313447
10, 0.023112546652555466, 0.023112546652555466, 0.0144257927313447
11, 0.025079352781176567, 0.025079352781176567, 0.0144257927313447
12, 0.02092496119439602, 0.02092496119439602, 0.0144257927313447
13, 0.03627757728099823, 0.03627757728099823, 0.0144257927313447
14, 0.03834076225757599, 0.03834076225757599, 0.0144257927313447
15, 0.018399294465780258, 0.018399294465780258, 0.0144257927313447
16, 0.023475095629692078, 0.023475095629692078, 0.0144257927313447
