Generation, Score of model 0, Average, Score retained
1, 78.80223846435547, 78.80223846435547, 78.80223846435547
2, 31.864063262939453, 31.864063262939453, 31.864063262939453
3, 104.04395294189453, 104.04395294189453, 31.864063262939453
4, 69.85073852539062, 69.85073852539062, 31.864063262939453
5, 60.60658645629883, 60.60658645629883, 31.864063262939453
6, 52.412845611572266, 52.412845611572266, 31.864063262939453
7, 54.4848747253418, 54.4848747253418, 31.864063262939453
8, 106.8700180053711, 106.8700180053711, 31.864063262939453
9, 109.15482330322266, 109.15482330322266, 31.864063262939453
10, 113.1921615600586, 113.1921615600586, 31.864063262939453
11, 105.65770721435547, 105.65770721435547, 31.864063262939453
12, 94.96001434326172, 94.96001434326172, 31.864063262939453
13, 79.56597900390625, 79.56597900390625, 31.864063262939453
14, 99.6089096069336, 99.6089096069336, 31.864063262939453
15, 101.1423568725586, 101.1423568725586, 31.864063262939453
16, 110.01537322998047, 110.01537322998047, 31.864063262939453
17, 55.98466491699219, 55.98466491699219, 31.864063262939453
18, 74.01363372802734, 74.01363372802734, 31.864063262939453
19, 101.15987396240234, 101.15987396240234, 31.864063262939453
20, 123.94107818603516, 123.94107818603516, 31.864063262939453
21, 83.27440643310547, 83.27440643310547, 31.864063262939453
22, 88.53469848632812, 88.53469848632812, 31.864063262939453
23, 65.12383270263672, 65.12383270263672, 31.864063262939453
24, 115.84027862548828, 115.84027862548828, 31.864063262939453
25, 71.53254699707031, 71.53254699707031, 31.864063262939453
26, 74.3954086303711, 74.3954086303711, 31.864063262939453
27, 108.84243774414062, 108.84243774414062, 31.864063262939453
28, 79.8908920288086, 79.8908920288086, 31.864063262939453
29, 109.4512710571289, 109.4512710571289, 31.864063262939453
30, 106.9814224243164, 106.9814224243164, 31.864063262939453
31, 104.84326934814453, 104.84326934814453, 31.864063262939453
32, 92.95916748046875, 92.95916748046875, 31.864063262939453
33, 120.3506851196289, 120.3506851196289, 31.864063262939453
34, 81.04346466064453, 81.04346466064453, 31.864063262939453
35, 60.036041259765625, 60.036041259765625, 31.864063262939453
36, 102.99055480957031, 102.99055480957031, 31.864063262939453
