Generation, Score of model 0, Score of model 1, Score of model 2, Average, Score retained
1, 0.4937208294868469, 0.40870919823646545, 0.2233881950378418, 0.3752727409203847, 0.2233881950378418
2, 0.4579576551914215, 0.3076382577419281, 0.623723566532135, 0.46310649315516156, 0.2233881950378418
3, 0.4357297420501709, 0.28110620379447937, 0.23468944430351257, 0.31717513004938763, 0.2233881950378418
4, 0.329721063375473, 0.41316670179367065, 0.33184218406677246, 0.35824331641197205, 0.2233881950378418
5, 0.28070712089538574, 0.29804134368896484, 0.3375234603881836, 0.3054239749908447, 0.2233881950378418
6, 0.398605078458786, 0.3428546190261841, 0.3599552512168884, 0.3671383162339528, 0.2233881950378418
7, 0.4312503933906555, 0.4026574492454529, 0.3985401391983032, 0.41081599394480384, 0.2233881950378418
8, 0.3492661118507385, 0.4534355103969574, 0.4127655029296875, 0.4051557083924611, 0.2233881950378418
9, 0.29854121804237366, 0.20939941704273224, 0.2609543800354004, 0.25629833837350213, 0.20939941704273224
10, 0.38261738419532776, 0.32523563504219055, 0.6064051985740662, 0.43808607260386145, 0.20939941704273224
11, 0.3418295085430145, 0.3200071454048157, 0.6225773096084595, 0.42813798785209656, 0.20939941704273224
12, 0.3449925184249878, 0.24877475202083588, 0.34756144881248474, 0.31377623975276947, 0.20939941704273224
13, 0.30033695697784424, 0.2416723519563675, 0.3520246148109436, 0.29801130791505176, 0.20939941704273224
14, 0.3200993835926056, 0.6204379796981812, 0.29376307129859924, 0.411433478196462, 0.20939941704273224
15, 0.3622645139694214, 0.5749179124832153, 0.5440220236778259, 0.4937348167101542, 0.20939941704273224
16, 0.4000709354877472, 0.34953874349594116, 0.41949301958084106, 0.3897008995215098, 0.20939941704273224
17, 0.578402578830719, 0.37848609685897827, 0.27442893385887146, 0.4104392031828562, 0.20939941704273224
18, 0.18190687894821167, 0.33536848425865173, 0.26742592453956604, 0.2615670959154765, 0.18190687894821167
19, 0.1909266859292984, 0.41047149896621704, 0.20301008224487305, 0.2681360890467962, 0.18190687894821167
20, 0.3452078104019165, 0.5010850429534912, 0.32465660572052, 0.3903164863586425, 0.18190687894821167
21, 0.3168695569038391, 0.4728371500968933, 0.4440111815929413, 0.41123929619789124, 0.18190687894821167
22, 0.45075443387031555, 0.41855648159980774, 0.1519167572259903, 0.34040922423203784, 0.1519167572259903
23, 0.531952440738678, 0.4507857859134674, 0.1642804890871048, 0.3823395719130834, 0.1519167572259903
24, 0.3629395663738251, 0.35261622071266174, 0.21944083273410797, 0.31166553994019824, 0.1519167572259903
25, 0.2531094551086426, 0.4154110252857208, 0.4713788628578186, 0.3799664477507273, 0.1519167572259903
