Generation, Score of model 0, Score of model 1, Score of model 2, Average, Score retained
1, 0.42031747102737427, 0.14374467730522156, 0.30300670862197876, 0.28902295231819153, 0.14374467730522156
2, 0.2299490123987198, 0.21316960453987122, 0.2675604224205017, 0.23689301311969757, 0.14374467730522156
3, 0.6787376999855042, 0.6641839742660522, 0.11162494868040085, 0.48484887431065243, 0.11162494868040085
4, 0.1821233332157135, 0.17457148432731628, 0.0994550883769989, 0.15204996864000955, 0.0994550883769989
5, 0.32069525122642517, 0.16592510044574738, 0.5383433699607849, 0.3416545738776525, 0.0994550883769989
6, 0.31550830602645874, 0.4160372316837311, 0.18163244426250458, 0.3043926606575648, 0.0994550883769989
7, 0.1474084109067917, 0.14900793135166168, 0.9570809006690979, 0.4178324143091837, 0.0994550883769989
8, 0.12723568081855774, 0.23270416259765625, 0.31314265727996826, 0.2243608335653941, 0.0994550883769989
9, 0.3223899304866791, 0.24392086267471313, 0.54973304271698, 0.3720146119594574, 0.0994550883769989
10, 0.12257514894008636, 0.23845960199832916, 0.09652025252580643, 0.15251833448807398, 0.09652025252580643
11, 0.19532199203968048, 0.2507542371749878, 0.35222572088241577, 0.26610065003236133, 0.09652025252580643
12, 0.42633771896362305, 0.355874240398407, 0.12870611250400543, 0.3036393572886785, 0.09652025252580643
13, 0.3970808684825897, 0.06746382266283035, 0.38785412907600403, 0.284132940073808, 0.06746382266283035
14, 0.3184804618358612, 0.8040902018547058, 0.15018442273139954, 0.42425169547398883, 0.06746382266283035
15, 0.25078073143959045, 0.12124709784984589, 0.277757465839386, 0.2165950983762741, 0.06746382266283035
16, 0.1566937267780304, 0.35383135080337524, 0.19279685616493225, 0.2344406445821126, 0.06746382266283035
17, 0.6094589829444885, 0.37601715326309204, 0.6102975010871887, 0.5319245457649231, 0.06746382266283035
18, 0.1974037140607834, 0.27629268169403076, 0.10521261394023895, 0.19296966989835104, 0.06746382266283035
19, 0.164641872048378, 0.475372314453125, 0.20247817039489746, 0.2808307856321335, 0.06746382266283035
20, 0.2040530890226364, 0.27852511405944824, 0.486150324344635, 0.32290950914223987, 0.06746382266283035
21, 0.3306821286678314, 0.2312193512916565, 0.1641186624765396, 0.2420067141453425, 0.06746382266283035
22, 0.3089216649532318, 0.32365477085113525, 0.2535618543624878, 0.2953794300556183, 0.06746382266283035
23, 0.4104742705821991, 0.23160235583782196, 0.25327104330062866, 0.29844922324021655, 0.06746382266283035
24, 0.73296719789505, 0.349092960357666, 0.3975096046924591, 0.4931899209817251, 0.06746382266283035
25, 0.16959287226200104, 0.34381943941116333, 0.9482389688491821, 0.48721709350744885, 0.06746382266283035
