Generation, Score of model 0, Score of model 1, Score of model 2, Average, Score retained
1, 0.29290395975112915, 0.47950851917266846, 0.2907567024230957, 0.3543897271156311, 0.2907567024230957
2, 0.5730998516082764, 0.33829277753829956, 0.3194921910762787, 0.41029494007428485, 0.2907567024230957
3, 0.544330358505249, 0.3804323673248291, 0.38583868741989136, 0.43686713774998986, 0.2907567024230957
4, 0.405415415763855, 0.3844468295574188, 0.440437376499176, 0.41009987394015, 0.2907567024230957
5, 0.3415772318840027, 0.3278708755970001, 0.49805474281311035, 0.38916761676470435, 0.2907567024230957
6, 0.20241089165210724, 0.3388059735298157, 0.1194995865225792, 0.22023881723483402, 0.1194995865225792
7, 0.41001948714256287, 0.3674454987049103, 0.4256373941898346, 0.40103412667910254, 0.1194995865225792
8, 0.4154355525970459, 0.3358187675476074, 0.29143935441970825, 0.34756455818812054, 0.1194995865225792
9, 0.2718486487865448, 0.5000320672988892, 0.44179320335388184, 0.4045579731464386, 0.1194995865225792
10, 0.296621173620224, 0.2791554927825928, 0.3892563283443451, 0.3216776649157206, 0.1194995865225792
11, 0.46713995933532715, 0.2577956020832062, 0.2458794116973877, 0.3236049910386403, 0.1194995865225792
12, 0.34612932801246643, 0.35391998291015625, 0.44661271572113037, 0.3822206755479177, 0.1194995865225792
13, 0.2543925940990448, 0.3154980540275574, 0.3449237048625946, 0.3049381176630656, 0.1194995865225792
14, 0.29790908098220825, 0.2759641110897064, 0.15614502131938934, 0.243339404463768, 0.1194995865225792
15, 0.25994282960891724, 0.4647636413574219, 0.4476553797721863, 0.3907872835795084, 0.1194995865225792
16, 0.3715660572052002, 0.38622939586639404, 0.3146896958351135, 0.3574950496355693, 0.1194995865225792
17, 0.1406785547733307, 0.6067430973052979, 0.15246346592903137, 0.29996170600255334, 0.1194995865225792
18, 0.5081987380981445, 0.31751102209091187, 0.38268521428108215, 0.4027983248233795, 0.1194995865225792
19, 0.32788214087486267, 0.4361940026283264, 0.2784903347492218, 0.3475221594174703, 0.1194995865225792
20, 0.2247757911682129, 0.3205951154232025, 0.490193247795105, 0.34518805146217346, 0.1194995865225792
21, 0.54169762134552, 0.4074307084083557, 0.4776216447353363, 0.4755833248297373, 0.1194995865225792
22, 0.34659603238105774, 0.4232657253742218, 0.3283514082431793, 0.36607105533281964, 0.1194995865225792
23, 0.3420480191707611, 0.31595930457115173, 0.34630313515663147, 0.33477015296618146, 0.1194995865225792
24, 0.26277825236320496, 0.29539698362350464, 0.2828598618507385, 0.2803450326124827, 0.1194995865225792
25, 0.42733871936798096, 0.3878747820854187, 0.5285511016845703, 0.44792153437932336, 0.1194995865225792
